Científicas;Año nacimiento;Fecha;Bio;Especialidad;Cartel;Año;Otros carteles;Instagram;Pais;Wikipedia
Ángela Nieto (1 marzo de 1960);1960;1-mar;Un 1 de marzo nació en Madrid la bióloga molecular ÁNGELA NIETO TOLEDANO (1960) que descubrió, con su equipo, que la movilidad celular se produce gracias a la expresión de unos genes que dirigen la formación de distintos tejidos y órganos en el embrión y se activan patológicamente en distintas enfermedades. Se licenció en Ciencias y doctoró en Bioquímica y Biología Molecular en la Universidad Autónoma de Madrid (1987). En 1988 entró en el Instituto de Investigaciones Biomédicas AS (Madrid). Luego se unió al National Institute for Medical Research (Londres) y trabajó en el aislamiento de genes implicados en el desarrollo del sistema nervioso. En 1993 volvió a Madrid al Instituto Cajal-CSIC. En 2000 fue elegida directora del Dept. de Neurobiología del Desarrollo. En 2004 se trasladó con su grupo al Instituto de Neurociencias CSIC-UMH en Alicante como directora de la Unidad de Neurobiología del Desarrollo hasta 2016. Ha identificado genes y mecanismos para la formación de órganos y demostrado que la reactivación de genes embrionarios en el adulto provoca enfermedades como la progresión del cáncer, la fibrosis o defectos en el crecimiento y la mineralización de los huesos. Estudia mecanismos de plasticidad celular en fisiología y en enfermedades asociadas al envejecimiento. Es miembro de la Organización Europea de Biología Molecular, de la Academia Europea y de las de Ciencias de España, Francia y Latinoamérica. Fue presidenta de la Sociedad Española de Biología del Desarrollo y de la Internacional. Hoy es vicepresidenta del Consejo del Laboratorio Europeo de Biología Molecular. Entre sus premios destacan el de la Fundación Carmen y Severo Ochoa 2004, el Francisco Cobos a la Investigación Biomédica 2005, Alberto Sols a la mejor labor investigadora 2008, Rey Jaime I en Investigación Básica (2009), a la Investigación Básica en Nefrología 2016, ASEICA a la Investigación del Cáncer 2018, el Nacional de Investigación ‘Santiago Ramón y Cajal’ de Biología 2019, el Grisolía y el L’Oreal-UNESCO for Women in Science Europe 2022. Cartel hecho por @pilar_terron #ÁngelaNieto #BiologíaMolecular #Cáncer #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy ;NeuroBióloga, bióloga molecular;si;2023;-;-;España;-
Biola María Javierre Martínez (1983);1983;1-mar;El 1 de marzo de 2018 la bióloga e investigadora española destacada por sus estudios sobre la leucemia comenzó z trabajar como una de las investigadoras principales del Instituto de Investigación contra la Leucemia Josep Carreras. Lidera un grupo de científic@s apasionad@s con una sed insaciable por aprender sobre la organización espacio-temporal del ADN y enfocarla al estudio del cáncer hematológico. Biola, licenciada en Biología y Bioquímica por la Universidad de Navarra y doctorada en Biología Molecular por la Universidad Autónoma de Madrid, es una de las 5 científicas españolas de menos de 40 años elegidas dentro del programa “L’ORÉAL-UNESCO For Women in Science”. El proyecto de Biola Javierre se basa en la descripción de nuevas dianas terapéuticas para el tratamiento de la leucemia linfoblástica aguda infantil. La científica ha logrado desarrollar una nueva técnica que permite por primera vez saber cuáles son las secuencias reguladoras del genoma que regulan la actividad de cada gen en cada tipo celular. ​ Por otro lado, la octava edición del Top 100 Mujeres Líderes en España, celebrado el lunes 25 de noviembre de 2019, colocó a Javierre dentro del listado de mujeres referentes en la sanidad española;Bióloga Molecular;no;-;-;-;España;-
Catharina Helena Dörrien (1 de marzo de 1717-8 de junio de 1795);1717;1-mar; Catharina Helena Dörrien (1717-1795), artista con mucho talento, ya que hoy es reconocida como «la naturalista femenina más famosa de habla alemana de su tiempo». Nacida el 1 de marzo de 1717 en Hildesheim, Baja Sajonia, Alemania, Catharina Dörrien, subraya el autor, fue una «innovadora pedagoga, pintora de renombre, naturalista rigurosa, esforzada traductora y dotada narradora, que ganó fama internacional en su tiempo, [si bien parecía] desvanecerse en una completa oscuridad durante los dos siglos que siguieron a su muerte».Catharina fue la segunda hija de cuatro hermanos de una culta familia formada por el pastor Johann Jonas Dörrien y Lucia Catharina Schrader. «Como defensor de la naciente Ilustración, indica DeBakcsy, su padre creía que sus hijas e hijos debían tener acceso por igual a los recursos necesarios para aprender sobre el mundo y su historia, tanto natural como política». A la luz de tales ideas, la niña recibió la misma formación que sus hermanos varones y pudo «aprender todo aquello que despertara su fantasía, incluyendo latín, historia, geografía y ciencia». Su biógrafa, Regina Viereck, ha destacado la amplitud de los intereses de Catharina, enfatizando que la joven también aprendió botánica al colaborar con sus padres en el cuidado del jardín de la casa parroquial, «actividad que se convirtió para ella en un verdadero placer».Cuando Catharina tenía 16 años, falleció su madre y cuatro años más tarde moría su padre. Sobre la década siguiente existen muy pocos datos biográficos, y se supone que la joven probablemente vivió con parientes o amigos, mientras que sus hermanos fueron a la universidad.La vida de Catharina Dörren experimentó un notable cambio tras recibir una carta de su amiga de la infancia, Sophie Anna Blandina von Alers, invitándola a su casa en Dillenburg, ahora estado de Hesse situado a unos 260 kilómetros de Hildesheim, para que fuera institutriz de sus hijos. La intelectualmente inquieta Dörren, que tenía entonces 30 años de edad, aceptó gustosa la sugerencia. Pronto se vio incluida en una atmósfera donde reinaba el estudio, pues el marido de su amiga era el respetado historiador y amante de las plantas Anton Ulrich von Erath (1709-1773). Estimulada por el ambiente de esta familia culta y defensora de la educación femenina, relata Debakcsy, la joven «aprendió francés, pintura y taxonomía botánica en una rápida sucesión».Inicialmente, Catharina Dörrien pintaba por placer, pero Erath detectó sus múltiples habilidades y la invitó a desplazarse con él por el Principado de Orange-Nassau, estimulándola en la búsqueda de nuevas variedades de plantas que documentar y pintar. Entusiasmada con los hallazgos, Dörrien publicó sus primeros trabajos ilustrados, éstos eran sobre todo de carácter pedagógico y ofrecían deslumbrantes relatos dirigidos principalmente a la educación de las jóvenes.Como muy bien ha recordado Dale DeBakcsy, en 1756, tres años antes de que naciera Mary Wollstonecraft (1759-1797), célebre autora británica que reivindicó los  derechos de las mujeres (Vindication of the Rights of Woman, 1792), Catharina Dörrien decidió desafiar en sus escritos la forma en que las niñas eran educadas. Esta pionera alemana concebía la educación como un gran ejercicio para generar gente útil tanto para sí mismas como para los demás, e insistía en que una «buena formación generaría mujeres intelectualmente satisfechas mucho más útiles que las educadas para ser dóciles y placenteras compañeras».Dörren puede considerarse una adelantada a su tiempo, pues declaraba que «las mujeres podían hacer cualquier cosa que la vida requiriera en términos de su propio mantenimiento, sin depender perezosamente de otros». Asimismo, sostenía que «el conocimiento debe suplementarse de lecturas regulares, dirigidas con pasión y placer desde los primeros años de vida, y que traten sobre historia y, más importante, sobre ciencia». En sus numerosos escritos, recomendaba varias revistas con detallados artículos científicos que debían incluirse en el régimen de lectura de las jóvenes (DeBakcsy, 2018).Anton von Erath murió en 1773, pero Dörrien no abandonó sus estudios ni perdió el entusiasmo por su trabajo. Tal y como ha descrito la experta en historia de la botánica y Asociada Honoraria del Jardín Botánico de Merlbourne (Honorary Associate del Royal Botanic Gardens), Sara Maroske, la creativa Dörrien publicaba finalmente en 1777 su obra maestra: un catálogo de 496 páginas de las plantas de Orange-Nassau, acompañado de un gran número de ilustraciones. La historiadora ha señalado al respecto que «el exhaustivo detalle con el que esta botánica interpretó y describió las plantas locales, condujeron a que su obra fuera ampliamente admirada y reconocida, y a que varios de sus trabajos se tradujeron a otras lenguas alcanzando numerosas ediciones».;Botánica;no;-;-;-;Alemania;en inglés
Clotilde Catalán de Ocón (1 marzo de 1863-12 de mayo de 1946);1863;1-mar;Clotilde Catalán de Ocón (1 marzo de 1863-12 de mayo de 1946) Poetisa y destacada entomóloga de la Sierra de Albarracín. Aunque nacida en Calatayud el 1 de marzo de 1863, lo mismo que su hermana Blanca muy niña pasó con su familia a residir al Monreal del Campo, si bien gran parte de su infancia y juventud lo pasaban en la citada Casa de la Campana en Valdecabriel, alternando asimismo con temporadas en Barcelona.Al igual que hizo con su hermana Blanca, la madre trató de inculcar en Clotilde el amor por la naturaleza y por los insectos, siguiendo la querencia que había adquirido de joven en su estancia en los colegios de religiosas de Suiza. En este caso igualmente contó con las enseñanzas y consejos del anciano canónigo de Albarracín Bernardo Zapater, como es sabido una de las mayores autoridades entonces en la ciencia de las plantas y de los insectos.Notable coleccionista, las largas temporadas que pasaba la familia en Valdecabriel las aprovechó Clotilde Catalán y Gayolá para formar una interesante colección de lepidópteros que, con la ayuda del citado prelado y de libros técnicos, fue poco a poco clasificando nuestra joven naturalista. Una parte de esta colección fue publicada en “Miscelánea Turolense” en 1894, bajo el epígrafe de “Fauna entomológica turolense” y el título de Catálogo de los lepidópteros que han sido cazados en el valle de Valdecabriel por la Señorita Clotilde Catalán de Ocón, que lleva la firma de Bernardo Zapater.La colección entomológica de Clotilde debía ser muy valiosa a juzgar por las palabras con las que Zapater termina el trabajo: “Podríamos añadir otra (lista) correspondiente al grupo de las nocturnas y Microlepidópteros que han sido recogidos en gran cantidad por la misma colectora, pero nos vemos precisados a aplazar su publicación por no haber sido aún completamente estudiadas, faltando datos para su determinación”.Lo mismo que sucede con la obra botánica de su hermana Blanca, ya en 1880 Bernardo Zapater ponderaba también en el Suplemento de “La Provincia” de Teruel el mérito de sus trabajos entomológicos:“La joven y distinguida Señorita Clotilde Catalán de Ocón de cuya afición a los Lepidópteros nos prometemos mucho, ha llamado la atención de los entomólogos por las raras especies que ha sabido capturar en el Valle de Valdecabriel, pudiendo citar entre otras muchas, la Colias Edussa, Hyale, Polyommatus Gordius, Lyaena Baetica y Coridon, Lyccena Damon, Melitaca Artemis, una bonita Melitacca, Parthenie muy rara en nuestro país, y la Coenonympha iphioides que es una variedad subalpina muy interesante”.Sin embargo no fue esta afición naturalística la que dio notoriedad a la joven Clotilde Catalán de Ocón, sino que fueron sus abundantes composiciones poéticas que vieron la luz en numerosos periódicos y revistas de Teruel y Zaragoza, las que dieron a conocer su nombre en el ámbito literario regional.Criada junto a su hermana Blanca en Valdecabriel, en el corazón de la Sierra de Albarracín, allí, en sus pintorescas asperezas encontró, a la par que insectos para sus colecciones, la inspiración para sus composiciones que fueron casi siempre firmadas con el seudónimo de “La Hija del Cabriel”.En sus poemas de claro sentido estro, hace un canto laudatorio de las virtudes humanas y de las delicadas sensaciones que percibe en su contacto con la naturaleza. A medida que compone, siente la poetisa un ardoroso y eficaz estímulo que inflama su imaginación y se desborda en sus versos cargados de sentimiento y emoción.Son notables las composiciones publicadas que fue publicando en la prensa turolense y aragonesa, como la “Revista del Turia”, “El Turolense”, “El Eco de Teruel” o el “Cancionero de los Amantes de Teruel”, generalmente de marcado carácter romántico y melancólico. Muy poco es lo que sabemos sobre el final de esta poetisa. Hidalgas de cuna, bien instruidas y educadas, a la desgracia de la temprana pérdida de la madre debieron unir las serias dificultades económicas por las que atravesó la situación familiar de los Catalán de Ocón, viéndose en la necesidad de vender numerosas propiedades. El último texto escrito lo reproduciría años después el propio Gascón y Guimbao, entre las “Opiniones y juicios emitidos con relación a la Miscelánea Turolese” en los términos que siguen:“Desterrada de Aragón por la vicisitudes de la vida, no olvido que soy hija de aquella tierra y que en la pintoresca sierra de Albarracín transcurrieron los años más felices de mi infancia y adolescencia. La Miscelánea Turolense trae en sus páginas las brisas perfumadas de mis queridas montañas y los ritmos cadenciosos de la jota. Felicito al autor de tan notable revista y me vanaglorio de ser paisana de un hombre que tan bien sabe sentir y contar las glorias turolenses. Para amar se necesita corazón, pero para expresar ideas hace falta talento, ambas cosas posee el autor de la Miscelánea, yo tan sólo se aplaudirle y admirarle. La Hija del Cabriel”.Tras el matrimonio de su hermana Blanca y el fallecimiento de la madre, Clotilde pasó a vivir a Figueras en el seno y en las propiedades de la familia materna. Es de suponer que debió de mantener la relación con su querida hermana, sin embago la prematura muerte de ésta hizo que se limitase mucho el contacto con sus sobrinos. Recuerdan vagamente que desde Cataluña Clotilde hizo alguna inversión inmobiliaria en la Ciudad Lineal de las inmediaciones de Madrid, tal vez por ello en dicha zona durante muchos años hubo una calle dedicada a “Clotilde Catalán”, que todavía subsistía a mediados de los años 50 para desaparecer después.Es en la Miscelánea Turolense, revista editada en Madrid, en el taller tipográfico de Manuel Ginés Hernández, natural de Singra, y dirigida por el célebre escritor regeneracionista, natural de Albarracín, Domingo Gascón Gimbao, en donde podemos encontrar alguna hermosa composición de Clotilde Catalán de Ocón, como aquella compuesta en 1889, que lleva por título “Ante la tumba de mi madre”. El poema en cuestión está compuesto por siete estrofas, estrofas muy emparentadas con la seguidilla. La composición expresa el sentimiento de dolor de una mujer que ha perdido a su madre. Es ese estado el que le obliga a vivir una vida errante y solitaria, una existencia triste y desolada: “¿Qué me importa que el mundo/me brinde goces,/si encuentro las espinas/tras de las flores?/¡Triste existencia,/pues siempre a la alegría/se une la pena!”.Clotilde siente frío en el pecho y echa de menos las caricias y los dulces besos de su madre ausente, de una madre que voló al cielo en donde mora junto a los ángeles. Por eso, su único consuelo se reduce a la esperanza de reunirse pronto con ella: “Arriba estoy mirando/siempre anhelante./¡Es tan triste, tan triste/no tener madre!/Oye mis ruegos,/y llévame muy pronto/contigo al cielo”.;Entomóloga;-;-;-;-;España;-
Ellen Fetter (1940-?);1940;1-mar;El 1 de Marzo de 1963 se tiene por primera vez constancia del trabajo desaroolado por la programadora especialista en la teoría del caos Ellen Fetter que aparece en los Agradecimientos finales del artículo [Edward N. Lorenz, Deterministic Nonperiodic Flow, Journal of the Atmospheric Sciences, 20 (2) (1963) 130–141]. Ellen Fetter nació en 1940 en Estados Unidos y se sabe poco sobre su biografía personal, pero sí que sabemos que estudió en una escuela suiza parte de la educación secundaria, que se graduó en 1957 en el New Trier High School, en Illinois y que luego se decantó por las matemáticas, estudios que cursó en el Mount Holyoke College, una institución educativa femenina de Massachusetts.En 1961, Fetter acudió a una entrevista en el MIT recién graduada en matemáticas, en busca de un trabajo relacionado con este área y con ganas de aprender. Sería contratada por la que fue su predecesora en el proyecto de Lorenz, Margaret Hamilton, que más adelante seguiría su carrera como programadora y participaría en la misión Apolo que puso por primera vez a un hombre sobre la superficie de la Luna.Una vez que Fetter ocupó su puesto, el meteorólogo le entregó un manual y unos cuantos problemas de programación para que aprendiese y practicase, y en poco tiempo ya se había puesto al día. Continuó con la labor de Hamilton y colaboró con Lorenz para continuar definiendo sus ecuaciones caóticas. Una de las cosas que hizo con él fue el desarrollo visual de algunas de las propiedades de estas fórmulas, que dio pie a su representación más conocida, la del punto que al moverse dibuja una línea que recuerda precisamente a las alas de una mariposa. En 1963, Fetter se casó con John Gille, otro investigador del MIT especializado en geofísica, y se trasladaron a Florida, donde ella se dedicó a la programación unos cuantos años más en la Universidad Estatal de Florida y pasó algunos años sin trabajar cuidando de sus hijos. Avanzados los 70 cambió de empleó y se dedicó a la asesoría fiscal. “Tras ser rechazada en un par de entrevistas de trabajo me dije: ‘Olvídalo’. Prefirieron a chicos jóvenes y techies”.Fetter, como Hamilton, formó parte de una primera generación de programadoras, en su gran mayoría mujeres, que fueron imprescindibles en muchos grandes avances técnicos y científicos pero cuyo trabajo a menudo se vio menospreciado por considerarse más mecánico que intelectual. Lorenz reconoció su aportación en sus publicaciones, pero eso no era lo habitual entonces. Era algo tan poco común que ella explicó años después que se sintió “aturdida” al verlo. Ellen Fetter y Margaret Hamilton fueron responsables de programar la enorme computadora de la década de 1960 que descubriría atractores extraños y otras características de la teoría del caos.Sarah, la hija que Fetter y Gille tuvieron, siguió la senda científica de sus padres y estudió física en la Universidad de Yale.;Programadora;no;-;-;-;EEUU;-
Irene Schiavión (1 de marzo 1987);1987;1-mar;Un 1 de marzo nació la ingeniera de minas ex-jugadora de la Selección Española Femenina de Rugby en la modalidad de XV y 7´s. Irene Schiavión Matteo. Irene Schiavon Durante ocho años uno de los grandes pilares del rugby español.Hoy trabaja como ingeniera en el departamento de sostenibilidad para una de las empresas más importantes del país, Iberdrola.;Ingeniera de minas;no;-;-;-;España;-
Judith Gould;-;1-mar;"El 1 de marzo de 1979, Judith Gould y Lorna Wing publicaron ""Severe impairments of social interaction and associated abnormalities in children: Epidemiology and classification"" donde se define el concepto de Espectro Autista t. Definen el autismo como un continuo más que como una categoría diagnóstica, en el que se pueden dar variabilidad de síntomas, y cada uno de ellos con una intensidad diferente.Judith Gould is the Lead Associate Consultant at the National Autistic Society Lorna Wing Centre for Autism and retired as Director of the Centre in 2015. She is a Chartered Consultant Clinical Psychologist, with over 40 years experience, specialising in autism spectrum disorders and learning disabilities.Before being the Director of the Lorna Wing Centre she worked as a member of the scientific staff of the Medical Research Council Social Psychiatry Unit and was a Senior Lecturer at the Institute of Psychiatry, University of London. She has also worked as a Clinical Psychologist within both health and social services. She has published widely in the field of autism spectrum disorders. Her current interest is the diagnosis of women and girls on the spectrum.Lorna Wing and Judith Gould’s early work in the 1970s on the epidemiology of autism and related conditions, led to the concept of a spectrum of autistic conditions.Judith Gould, together with Lorna Wing, set up The Centre for Social and Communication Disorders (now the Lorna Wing Centre for Autism) which was the first service in the UK to provide a complete diagnostic, assessment and advice service for children, adolescents and adults with social and communication disorders.The Centre’s team also offers training to professionals in their methods of diagnosis and assessment of needs. Lorna Wing and Judith Gould developed an interview schedule called the Diagnostic Interview for Social and Communication Disorders (DISCO) to be used as part of the diagnostic process. This schedule enables the professional to use a dimensional approach when making a diagnosis which is more helpful than diagnostic sub-grouping when planning treatment, education and care. This approach bests fits the new DSM 5 Diagnostic Classification System. DISCO is widely used throughout the UK and overseas, and training in its use is carried out both at the Centre and internationally. principal consultor y ex director del Centro de Autismo Lorna Wing que desarrolló las primeras y únicas pruebas de diagnóstico específicas para la mujer, y que imparte formación a profesionales sobre cómo reconocer y diagnosticar TEA en mujeres adultas.";Psicóloga Autismo;no;-;-;-;Inglaterra;-
María Jesús del Val Cordón (1911);1911;1-mar;Un 23 de febrero de 1942 la oceánica y química MARÍA JESÚS DEL VAL CORDÓN (1911) toma posesión de la plaza de ayudante de laboratorio del Instituto Español de Oceanografía (IEO). Nació en Andosilla (Navarra). Hija de farmacéutico, se licenció en CC Químicas y Farmacia y se especializó en oceanografía cuando se incorporó como alumna libre en el Instituto Español de Oceanografía en 1940 donde realizó determinaciones de salinidad (a partir de la Cl% y del índice de refracción), oxígeno, materia orgánica, sulfatos (métodos volumétricos y gravimétricos) y pH por colorimetría. En agosto de 1941 participa en una campaña en la ría de Vigo haciendo determinaciones de temperatura, salinidad, oxígeno, materia orgánica, pH y alcalinidad, lo que le llevó a su tesis doctoral: ‘Condiciones químicas y físicas de las aguas de la Ría de Vigo’. En 1942 aprobó la oposición de Ayudante de Laboratorio del IEO y trabajó en el Departamento de Química Aplicada del IEO en los laboratorios de Madrid en análisis bioquímicos de diferentes especies de peces en salazón. Desarrolló nuevos métodos para la determinación rápida de humedad y grasa del pescado, así como estudios específicos sobre el aceite de bonito y las algas de interés industrial. En 1949 se casó con el oceanógrafo Ramón Fernández Crehuet, con quien tuvo 2 hijas. Trabajaron primero en el Laboratorio de Santander y desde 1954 en el de Málaga. Sus publicaciones incluyeron estudios de oceanografía física y química de la ría de Vigo y la bahía de Málaga, así como estudios sobre peces y algas, destacando la publicación del 1 de enero de 1972 sobre la sardina. Fue directora en funciones del laboratorio de Málaga desde 1959 hasta abril de 1965 en que se incorpora Natalio Cano como nuevo director. Se jubiló en 1981 y murió al año siguiente en agosto. Cartel hecho por @pilar_terron #MariaJesusDelValCordon #Oceánica #Química #IEO #MujeresEnCiencia #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy El 1 de marzo de 1963 se le conceden 7 trienios;Química, Farmacia, Oceánica;si;Plaza en 2023;Cartel el 23 de febrero;-;España;-
Nancy B. Jackson (1 marzo 1956);1956;1-mar;La química Nancy B. Jackson (1956) nació un 1 de marzo.Ha realizado investigaciones energéticas sobre la catálisis heterogénea y el desarrollo de combustibles alternativos.Trabaja también en el campo de la no proliferación química: educa a las personas profesionales de la química sobre la importancia de la práctica química segura en investigación, enseñanza e industria, con el objetivo de prevenir el uso indebido de productos químicos como armas, venenos, explosivos o contaminantes ambientales.Activa defensora de la diversidad en las disciplinas CTIM, fue presidenta de la American Chemical Society en 2011, participando activamente en la organización del Año Internacional de la Química 2011.;Química;no;-;-;-;-;-
Natalia Latorre Arranz (1975);1975;1-mar;Un 1 de Marzo de 2015, la ingeniería industrial Natalia Latorre Arranz (1975), fue nombrada la 1ª Presidenta de Shell España y forma parte del Consejo de Administración de BG Energy Iberian Holding. Nacida en Madrid, España, estudió Ingeniería Industrial, especialidad de Técnicas Energéticas, en la Universidad Politécnica de Madrid (UPM, 1999), realizó un Master en Finanzas de la Energía y una especialización en “Planificación y Gestión de Negocios” por la UNED. Ha realizado programas enfocados a liderazgo femenino como Women Career Development y Senior Women Connect programme. Su actividad profesional comenzó en el mundo de la Ingeniería en el campo de la cogeneración como Project Manager para Unión Fenosa Energías Especiales. En 2003 inició su andadura en Shell España en la rama de la ingeniería. Pasó lego por diversos cargos del mundo del análisis y marketing, siempre en el Negocio de Gas y Electricidad. En 2010 fue nombrada Directora Regional de Operaciones de Gas para el Sureste de Europa (Italia, Austria, Eslovaquia, Hungría, Turquía y España). Además, fue coordinadora en España del programa “Diversidad e Inclusión” del grupo Shell durante unos años. Firme defensora de la transición energética y el rol que la energía tienen en la evolución de la sociedad, sus últimos logros se centran en la descarbonización del sector marítimo en los Puertos de Tenerife y Barcelona, realizando la primera recarga en el mundo a un crucero con combustible bajo en emisiones, uno de los principales hitos de los últimos años en esta industria. Forma parte del Consejo Consultivo de Hidrocarburos de la Comisión Nacional de Mercados y Competencia, de la Comisión Permanente de la Asociación Española de Gas y Consejo Directivo del Club Español de la Energía. Es miembro de la Asociación Española de Mujeres de la Energía (AEMENER), y del Comité Estratégico del programa Mujer e Ingeniería de la Real Academia de Ingeniería. En 2019 y 2020 fue considerada una de las 500 españolas más influyentes según la Revista YoDona. Cartel hecho por @pilar_terron #NataliaLatorre #ShellEspaña #MujeresenlaEnergía #Ingenieras #IngenieríaIndustrial #MujeresEnLaIndustria #SheStem #womeninsteam #NoMoreMatildas #mujeresconciencia #concieMcia #taldíacomohoy;Ingeniera Industrial;si;2022;-;-;España;-
